SCHEME START,SCHEME END,PRODUCT,DAYS  OF DISCOUNT,DISCOUNT (%),PROD A,PROD B,PROD C,PROD D,PROD E,AHMEDABAD,AMBALA,BANGALORE,CHANDIGARH,CHENNAI,DEHRADUN,DELHI,GHAZIABAD,HYDERABAD,KANPUR,KOCHI,KOLKATA,MUMBAI,PARWANOO,ZIRAKHPUR
11-07-2005,14-09-2006,PROD B,430,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,19-08-2006,PROD E,404,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,14-07-2006,PROD E,368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,13-10-2006,PROD A,459,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,13-10-2006,PROD A,459,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,17-08-2006,PROD A,402,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,16-08-2006,PROD A,401,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,16-08-2006,PROD A,401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,19-07-2006,PROD A,373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11-07-2005,20-03-2006,PROD A,252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,27-10-2005,PROD E,108,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,27-10-2005,PROD C,108,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,27-10-2005,PROD C,108,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,27-10-2005,PROD B,108,2,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,27-10-2005,PROD A,108,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,30-05-2006,PROD B,323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,16-08-2006,PROD A,401,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-07-2005,19-08-2006,PROD E,404,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11-07-2005,14-07-2006,PROD E,368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,31-12-2005,PROD D,168,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,31-12-2005,PROD D,168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-2005,31-12-2005,PROD C,168,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16-07-2005,15-09-2005,PROD C,61,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26-07-2005,09-10-2005,PROD B,75,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-08-2005,07-09-2005,PROD C,25,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18-08-2005,09-10-2005,PROD B,52,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-08-2005,09-10-2005,PROD B,48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-08-2005,26-09-2005,PROD A,31,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2005,08-12-2005,PROD B,84,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2005,08-12-2005,PROD A,84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-09-2005,08-12-2005,PROD E,84,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2005,09-11-2005,PROD B,50,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2005,30-09-2005,PROD E,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005,24-11-2006,PROD E,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005,18-05-2006,PROD C,230,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,24-05-2006,PROD C,236,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,19-07-2006,PROD C,292,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,08-08-2006,PROD C,312,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,05-12-2006,PROD C,431,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-09-2005,18-07-2006,PROD C,291,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,12-04-2006,PROD A,194,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,31-07-2006,PROD B,304,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,21-12-2006,PROD E,447,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30-09-2005,31-08-2006,PROD A,335,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
